kreisid;data-id
1;861322
2;857268
3;857398
4;857882
5;858042
6;861384
7;861352
8;861374
9;857422
10;857962
11;861362
12;860830
13;857516
14;860826
15;860822
16;860824
17;860828
18;861608
19;860706
20;860702
21;857706
22;857820
23;857438
24;857972
25;857226
26;857744
27;857890
28;857748
29;860886
30;857356
31;858074
32;857172
33;857578
34;857716
35;857600
36;858016
37;860872
38;857862
39;860882
40;858132
41;861876
42;857316
43;860884
44;857830
45;857452
46;857996
47;857728
48;858148
49;860868
50;860892
51;857730
52;860864
53;860874
54;857904
55;857938
56;860488
57;858206
58;860484
59;860480
60;860474
61;860468
62;857668
63;860472
64;860470
65;860478
66;861474
67;861316
68;857180
69;861314
70;857766
72;857252
73;858052
75;860510
76;857334
77;857378
78;861504
79;857430
80;860414
81;860416
82;861502
83;857156
84;863130
85;861524
86;857662
87;857624
88;857752
89;857818
90;857924
91;857584
92;858062
93;861028
94;857664
95;857772
96;860926
98;858192
98;857928
99;857218
100;858098
101;857696
102;857648
103;861050
103;857408
104;861052
105;857108
106;857510
107;857900
108;857336
109;857610
110;857460
111;861042
112;857892
113;861916
114;861096
115;857120
116;857826
117;858128
118;861716
119;857440
120;857432
121;857980
122;861098
123;858096
124;858012
125;857362
126;861538
127;857478
128;857544
129;857558
130;861928
131;857212
132;857288
133;857984
134;857844
135;861088
136;857456
137;857688
138;861110
139;860998
140;857946
141;857780
142;861118
143;857864
144;863312
145;858084
146;858094
147;861648
148;857570
149;861766
150;858210
152;857694
153;857858
159;861274
160;861562
162;857770
166;857746
167;857244
168;857384
169;857922
170;857306
171;857132
172;857966
173;860648
174;857184
175;857768
175;860626
176;857592
178;858176
179;857512
180;861610
181;857102
182;861560
183;857814
184;860676
185;858050
186;860644
188;857742
189;857366
191;861440
193;857990
196;861430
197;857930
198;857412
199;857816
200;861144
201;858196
202;857992
203;861188
204;861182
205;861186
206;860204
206;857736
207;861204
208;858032
209;861194
210;857370
211;857396
212;857710
213;857656
214;857500
215;858030
216;857194
217;857680
218;858064
219;860330
220;857848
221;857470
222;857682
223;857896
224;857602
225;857876
226;857264
227;857286
228;857822
229;857964
230;858078
231;857914
232;860324
233;857090
234;860320
235;857884
236;858036
237;857690
238;861556
239;857300
240;858212
241;857084
242;857778
243;860366
244;857198
245;857294
246;861822
247;857700
248;857110
249;857494
250;858178
251;857676
252;858120
253;857260
254;863316
255;861748
256;860322
257;858034
258;857832
259;861900
260;857126
261;857360
262;857406
263;857322
264;861926
265;857146
266;861744
267;858106
268;858026
269;860112
270;857588
271;860136
272;861658
273;858194
274;857200
276;858214
276;858188
277;861820
278;857342
279;857620
280;861554
281;860140
282;861664
283;861566
284;857590
285;861824
286;857308
287;857502
288;857978
289;857254
290;858200
291;857538
292;857912
293;861536
294;857788
295;857138
296;857828
297;857754
298;863314
299;861252