kreisname;data-id
Köln I;861028
Stadt Hannover I;
Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;860830
Main-Taunus;857102
Mecklenburgische Seenplatte II - Landkreis Rostock III;860828
Ansbach;857084
Regensburg;857090
Mainz;861186
Bad Kissingen;857110
Zollernalb - Sigmaringen;857138
Marburg;857132
Duisburg I;857120
Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost;857156
Jena - Sömmerda - Weimarer Land I;
Lippe I;861088
Osnabrück-Land;
Segeberg - Stormarn-Mitte;861374
Mettmann II;857108
Böblingen;857126
Ludwigsburg;857146
Lüchow-Dannenberg - Lüneburg;860872
Fulda;
Ingolstadt;
Heidelberg;
Cloppenburg - Vechta;857172
Nürnberg-Nord;857198
Harz;857180
Gütersloh I;857212
Oberbergischer Kreis;
Mosel/Rhein-Hunsrück;
Emmendingen - Lahr;861566
Mannheim;
Unterems;857226
Berlin-Marzahn-Hellersdorf;861524
Nordfriesland - Dithmarschen Nord;857268
Berlin-Neukölln;861502
Halle;
Krefeld II - Wesel II;861096
Waldeck;857244
Weilheim;857264
Reutlingen;857254
Gießen;860648
Hamburg-Mitte;861608
Augsburg-Land;857260
Ennepe-Ruhr-Kreis II;860998
Roth;861822
BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I;860474
Neu-Ulm;861748
Schwandorf;860320
Deggendorf;857286
Bielefeld - Gütersloh II;
Stadt Hannover II;857316
Göppingen;857322
Oberhavel - Havelland II;860484
Mülheim - Essen I;861716
Schwalm-Eder;
Schwarzwald-Baar;857308
Hof;
Nürnberg-Süd;857294
Stadt Osnabrück;860882
Coburg;
Berlin-Pankow;857334
Bottrop - Recklinghausen III;857362
Pirmasens;857370
Neckar-Zaber;861744
Backnang - Schwäbisch Gmünd;
Kassel;857384
Neuss I;857336
Esslingen;857360
Eichsfeld - Nordhausen - Kyffhäuserkreis;857366
Stade I - Rotenburg II;857356
Berlin-Reinickendorf;
Bruchsal - Schwetzingen;857342
Berlin-Treptow-Köpenick;
Höxter - Gütersloh III - Lippe II;857456
Flensburg - Schleswig;
Ostholstein - Stormarn-Nord;857422
München-Land;857470
Hamburg-Bergedorf - Harburg;857438
Solingen – Remscheid – Wuppertal II;857408
Essen III;857432
Essen II;857440
Ahrweiler;857412
Gifhorn - Peine;
Goslar - Northeim - Osterode;860864
Berlin-Steglitz-Zehlendorf;857430
Hamburg-Altona;860706
Steinburg - Dithmarschen Süd;857398
Nürtingen;857406
Coesfeld - Steinfurt II;857478
Krefeld I - Neuss II;857460
Amberg;860324
Südpfalz;857396
Main-Spessart;857494
Trier;861188
Freising;857500
Düsseldorf I;857510
Konstanz;857502
Wiesbaden;857512
Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI;857516
Unna I;863312
Steinfurt III;857544
Vorpommern-Rügen - Vorpommern-Greifswald I;860822
Wesel I;861916
Ulm;857538
Börde - Jerichower Land;
Aalen - Heidenheim;857588
Starnberg - Landsberg am Lech;857602
Rhein-Erft-Kreis I;
Berlin-Spandau - Charlottenburg Nord;861504
Siegen-Wittgenstein;857570
Münster;857558
Plön - Neumünster;
Rotenburg I - Heidekreis;857600
Lübeck;861362
Diepholz - Nienburg I;857578
Borken II;861538
Hochtaunus;857592
Freiburg;860140
Märkisch-Oderland - Barnim II;860480
Salzgitter - Wolfenbüttel;860868
Pforzheim;857620
Mönchengladbach;
Aachen I;857624
Magdeburg;861314
Berlin-Tempelhof-Schöneberg;860416
Donau-Ries;863316
Darmstadt;860644
Bayreuth;
Leverkusen - Köln IV;
Köln II;857664
Leipzig I;857694
Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;857668
Würzburg;857676
Erding - Ebersberg;
Homburg;861252
Wuppertal I;857648
Aschaffenburg;857700
Paderborn;
München-Nord;857680
Berlin-Lichtenberg;
Rosenheim;857682
Saarlouis;857754
Montabaur;
Calw;861554
Vogtlandkreis;857746
Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;
Hamburg-Nord;857706
Osterholz - Verden;857716
Karlsruhe-Stadt;
Altötting;
Bodensee;861536
Bergstraße;
Hochsauerlandkreis;861648
Worms;857736
Hannover-Land II;
Kaiserslautern;861194
Delmenhorst - Wesermarsch - Oldenburg-Land;857748
Helmstedt - Wolfsburg;857730
Aachen II;857752
Friesland - Wilhelmshaven - Wittmund;857744
Stuttgart II;861900
Ravensburg;857788
Olpe - Märkischer Kreis I;861766
Dessau - Wittenberg;857766
Erlangen;
Main-Kinzig - Wetterau II - Schotten;857768
Chemnitz;
Berlin-Charlottenburg-Wilmersdorf;860414
Herne - Bochum II;857780
Köln III;
Recklinghausen II;861098
Frankfurt am Main II;857814
Hanau;861610
Heinsberg;857818
Rhein-Neckar;861820
Saarbrücken;857828
Landshut;857822
Koblenz;857816
Celle - Uelzen;857830
Stuttgart I;857832
Duisburg II;
Hamburg-Wandsbek;857820
Braunschweig;
Prignitz - Ostprignitz-Ruppin - Havelland I;860488
Frankfurt (Oder) - Oder-Spree;860472
Wetterau I;860626
Dortmund I;861118
Leipzig II;857858
St. Wendel;863314
Göttingen;
München-West/Mitte;857848
Viersen;
Dortmund II;857864
Minden-Lübbecke I;
Düren;857924
Bad Tölz-Wolfratshausen - Miesbach;857896
Straubing;857914
Traunstein;
Warendorf;861928
Dresden I;
Biberach;857912
Düsseldorf II;857900
Rendsburg-Eckernförde;857882
Oldenburg - Ammerland;857890
Dresden II - Bautzen II;861562
Werra-Meißner - Hersfeld-Rotenburg;
Rhein-Sieg-Kreis II;
Kleve;857892
Neuwied;857930
Weiden;857884
Bremen I;857904
Aurich - Emden;857972
München-Süd;860330
Bochum I;
Solingen - Remscheid - Wuppertal II;861050
Hannover-Land I;860884
Offenburg;
Herzogtum Lauenburg - Stormarn-Süd;
Passau;857964
Hagen - Ennepe-Ruhr-Kreis I;861110
Lahn-Dill;
Bremen II - Bremerhaven;857938
Erfurt - Weimar - Weimarer Land II;
Cuxhaven - Stade II;860886
Bitburg;857992
Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;860468
Hameln-Pyrmont - Holzminden;857996
Ludwigshafen/Frankenthal;861204
Waldshut;857978
Recklinghausen I;857980
Herford - Minden-Lübbecke II;857984
Euskirchen - Rhein-Erft-Kreis II;858062
Bamberg;858036
Offenbach;858050
Steinfurt I - Borken I;858012
Harburg;858016
Fürstenfeldbruck;858030
Hamburg-Eimsbüttel;
München-Ost;
Mittelems;858074
Pinneberg;
Kiel;858042
Neustadt - Speyer;858032
Berlin-Mitte;860510
Schwäbisch Hall - Hohenlohe;
Burgenland - Saalekreis;858052
Lörrach - Müllheim;861664
Ostallgäu;858034
Rottal-Inn;858078
Waiblingen;861926
Rheinisch-Bergischer Kreis;
Hamm - Unna II;858084
Soest;858094
Heilbronn;858106
Gelsenkirchen;858096
Bonn;860926
Augsburg-Stadt;
Suhl - Schmalkalden-Meiningen - Hildburghausen - Sonneberg;861430
Nienburg II - Schaumburg;858132
Oberhausen - Wesel III;858128
Cottbus - Spree-Neiße;860470
Elbe-Elster - Oberspreewald-Lausitz II;860478
Odenwald - Tauber;858188
Groß-Gerau;860676
Kreuznach;
Schweinfurt;
Rottweil - Tuttlingen;861824
Hildesheim;858148
Rastatt;858194
Tübingen;858200
Mettmann I;
Rheingau-Taunus - Limburg;858176
Rhein-Sieg-Kreis I;858192
Fürth;860366
Oberallgäu;860322
Altmark;
Kulmbach;858212
Märkischer Kreis II;858210
Uckermark - Barnim I;858206
Odenwald;
Karlsruhe-Land;861658
Frankfurt am Main I;861560
Rostock - Landkreis Rostock II;860826